0	0.3
1	0.316
2	0.328
3	0.32
4	0.324
5	0.32
6	0.32
7	0.32
8	0.32
9	0.32
10	0.32
11	0.32
12	0.312
13	0.3
14	0.272
15	0.264
16	0.264
17	0.264
18	0.288
19	0.288
20	0.288
21	0.288
22	0.288
23	0.288
24	0.288
25	0.288
26	0.288
27	0.288
28	0.288
29	0.292
30	0.288
31	0.288
32	0.288
33	0.288
34	0.288
35	0.288
36	0.288
37	0.288
38	0.288
39	0.288
40	0.288
41	0.288
42	0.288
43	0.288
44	0.288
45	0.288
46	0.288
47	0.288
48	0.288
49	0.288
50	0.292
51	0.288
52	0.288
53	0.288
54	0.288
55	0.288
56	0.324
57	0.308
58	0.308
59	0.308
60	0.308
61	0.292
62	0.248
63	0.236
64	0.252
65	0.264
66	0.236
67	0.24
68	0.244
69	0.244
70	0.244
71	0.244
72	0.244
73	0.244
74	0.24
75	0.26
76	0.26
77	0.26
78	0.26
79	0.26
80	0.264
81	0.26
82	0.264
83	0.26
84	0.26
85	0.26
86	0.264
87	0.26
88	0.264
89	0.26
90	0.26
91	0.26
92	0.26
93	0.26
94	0.26
95	0.28
96	0.252
97	0.252
98	0.252
99	0.252
